"orderid","orderdate","orderqty","region","customer_segment","prd_category","product"
24007,2010-08-26,42,"northwest territories","home office","office supplies","labels"
868,2012-06-08,31,"nunavut","home office","technology","computer peripherals"
11941,2010-06-24,4,"northwest territories","corporate","office supplies","storage & organization"
8995,2011-05-17,46,"northwest territories","consumer","office supplies","rubber bands"
27555,2009-09-01,32,"northwest territories","consumer","office supplies","paper"
15937,2012-11-06,32,"northwest territories","corporate","technology","computer peripherals"
11941,2010-06-24,26,"northwest territories","corporate","furniture","tables"
5569,2010-04-29,12,"nunavut","corporate","furniture","office furnishings"
28003,2011-03-19,31,"northwest territories","corporate","office supplies","paper"
15937,2012-11-06,17,"northwest territories","corporate","furniture","office furnishings"
2275,2012-10-21,49,"nunavut","small business","office supplies","pens & art supplies"
2757,2011-07-19,39,"nunavut","corporate","furniture","chairs & chairmats"
643,2011-03-24,21,"nunavut","corporate","office supplies","storage & organization"
51970,2012-01-11,1,"northwest territories","small business","technology","office machines"
44071,2012-04-15,19,"northwest territories","corporate","office supplies","binders and binder accessories"
43364,2012-04-07,21,"northwest territories","corporate","office supplies","envelopes"
17283,2011-09-14,4,"northwest territories","home office","technology","office machines"
44071,2012-04-15,20,"northwest territories","corporate","technology","telephones and communication"
1539,2011-03-09,33,"nunavut","corporate","office supplies","binders and binder accessories"
26051,2010-06-27,22,"northwest territories","home office","furniture","chairs & chairmats"
44519,2010-05-19,48,"northwest territories","corporate","office supplies","binders and binder accessories"
1539,2011-03-09,38,"nunavut","corporate","technology","computer peripherals"
26051,2010-06-27,31,"northwest territories","home office","technology","computer peripherals"
44519,2010-05-19,34,"northwest territories","corporate","office supplies","envelopes"
36001,2011-03-28,45,"northwest territories","home office","office supplies","binders and binder accessories"
27111,2009-03-11,11,"northwest territories","home office","technology","computer peripherals"
44519,2010-05-19,34,"northwest territories","corporate","technology","office machines"
36001,2011-03-28,47,"northwest territories","home office","office supplies","binders and binder accessories"
27111,2009-03-11,18,"northwest territories","home office","office supplies","storage & organization"
42561,2010-02-06,15,"northwest territories","consumer","technology","telephones and communication"
59207,2009-05-18,42,"atlantic","corporate","furniture","tables"
27111,2009-03-11,44,"northwest territories","home office","technology","telephones and communication"
14726,2012-01-08,15,"northwest territories","consumer","technology","computer peripherals"
44708,2009-07-27,15,"northwest territories","small business","furniture","office furnishings"
8391,2011-08-28,4,"nunavut","corporate","furniture","chairs & chairmats"
33894,2010-06-14,14,"northwest territories","corporate","office supplies","paper"
45217,2010-09-01,40,"northwest territories","consumer","technology","telephones and communication"
13346,2012-11-15,44,"northwest territories","corporate","office supplies","paper"
33894,2010-06-14,5,"northwest territories","corporate","office supplies","scissors, rulers and trimmers"
16423,2012-08-05,19,"northwest territories","corporate","office supplies","paper"
22501,2010-05-18,2,"northwest territories","corporate","office supplies","envelopes"
33894,2010-06-14,48,"northwest territories","corporate","technology","computer peripherals"
7430,2010-06-08,50,"nunavut","corporate","office supplies","envelopes"
51169,2010-12-24,2,"northwest territories","home office","furniture","office furnishings"
33894,2010-06-14,13,"northwest territories","corporate","technology","computer peripherals"
26272,2012-06-29,6,"northwest territories","home office","furniture","chairs & chairmats"
515,2010-08-28,19,"nunavut","consumer","office supplies","appliances"
20007,2009-08-05,49,"northwest territories","small business","office supplies","pens & art supplies"
16545,2010-05-09,10,"northwest territories","small business","office supplies","pens & art supplies"
515,2010-08-28,21,"nunavut","consumer","furniture","office furnishings"
33444,2012-10-06,11,"northwest territories","corporate","office supplies","pens & art supplies"
16545,2010-05-09,1,"northwest territories","small business","office supplies","scissors, rulers and trimmers"
5409,2012-01-08,11,"nunavut","corporate","office supplies","paper"
33444,2012-10-06,8,"northwest territories","corporate","office supplies","storage & organization"
31492,2010-10-15,26,"northwest territories","small business","office supplies","appliances"
14116,2011-10-09,1,"northwest territories","small business","office supplies","binders and binder accessories"
26531,2011-06-20,26,"northwest territories","corporate","technology","telephones and communication"
31492,2010-10-15,34,"northwest territories","small business","office supplies","storage & organization"
14116,2011-10-09,42,"northwest territories","small business","office supplies","binders and binder accessories"
2631,2010-09-23,27,"nunavut","corporate","technology","computer peripherals"
31492,2010-10-15,23,"northwest territories","small business","office supplies","storage & organization"
27778,2011-09-02,1,"northwest territories","corporate","office supplies","binders and binder accessories"
5506,2010-11-07,22,"nunavut","corporate","office supplies","paper"
37793,2009-11-08,16,"northwest territories","corporate","office supplies","scissors, rulers and trimmers"
27778,2011-09-02,34,"northwest territories","corporate","furniture","bookcases"
58368,2012-07-09,4,"atlantic","corporate","furniture","office furnishings"
10791,2011-08-19,20,"northwest territories","small business","office supplies","paper"
58368,2012-07-09,39,"atlantic","corporate","office supplies","paper"
27553,2011-08-12,48,"northwest territories","corporate","office supplies","storage & organization"
58368,2012-07-09,5,"atlantic","corporate","office supplies","storage & organization"
27553,2011-08-12,16,"northwest territories","corporate","technology","telephones and communication"
6980,2010-02-18,18,"nunavut","consumer","office supplies","binders and binder accessories"
57344,2010-09-24,47,"northwest territories","corporate","technology","telephones and communication"
50374,2009-05-30,30,"northwest territories","home office","office supplies","binders and binder accessories"
10789,2010-08-23,15,"northwest territories","corporate","office supplies","pens & art supplies"
43236,2010-07-03,20,"northwest territories","corporate","furniture","office furnishings"
31364,2009-05-01,2,"northwest territories","corporate","office supplies","storage & organization"
28165,2012-07-09,2,"northwest territories","corporate","office supplies","binders and binder accessories"
47943,2009-11-14,12,"northwest territories","home office","office supplies","labels"
47943,2009-11-14,48,"northwest territories","home office","office supplies","pens & art supplies"
40132,2012-02-23,26,"northwest territories","corporate","furniture","chairs & chairmats"
40132,2012-02-23,36,"northwest territories","corporate","furniture","tables"
40132,2012-02-23,16,"northwest territories","corporate","office supplies","binders and binder accessories"
48839,2010-07-10,1,"northwest territories","corporate","office supplies","labels"
12419,2011-10-15,12,"northwest territories","corporate","technology","office machines"
39846,2009-02-27,14,"northwest territories","corporate","technology","computer peripherals"
58688,2009-03-29,18,"atlantic","small business","office supplies","pens & art supplies"
