"compid","price","speed","hd","ram","screen","expected_compcategory","predicted_compcategory"
"308","2285.0","50.0","250.0","8.0","14.0","mega","mega"
"226","2745.0","66.0","170.0","8.0","14.0","hyper","mega"
"205","1595.0","33.0","85.0","2.0","14.0","special","special"
"264","2345.0","50.0","250.0","8.0","14.0","mega","mega"
"308","2285.0","50.0","250.0","8.0","14.0","mega","mega"
"226","2745.0","66.0","170.0","8.0","14.0","hyper","mega"
"205","1595.0","33.0","85.0","2.0","14.0","special","special"
"264","2345.0","50.0","250.0","8.0","14.0","mega","mega"
"491","3990.0","66.0","1000.0","16.0","14.0","uber","uber"
"83","2990.0","66.0","210.0","8.0","15.0","hyper","hyper"
"470","3720.0","66.0","500.0","8.0","14.0","uber","uber"
"590","2125.0","66.0","170.0","4.0","15.0","super","super"
"491","3990.0","66.0","1000.0","16.0","14.0","uber","uber"
"83","2990.0","66.0","210.0","8.0","15.0","hyper","hyper"
"470","3720.0","66.0","500.0","8.0","14.0","uber","uber"
"590","2125.0","66.0","170.0","4.0","15.0","super","super"
"348","2595.0","50.0","250.0","8.0","15.0","mega","mega"
"266","2195.0","50.0","130.0","4.0","14.0","super","super"
"62","1795.0","33.0","170.0","4.0","15.0","super","super"
"100","1695.0","33.0","170.0","4.0","14.0","special","special"
"348","2595.0","50.0","250.0","8.0","15.0","mega","mega"
"266","2195.0","50.0","130.0","4.0","14.0","super","super"
"62","1795.0","33.0","170.0","4.0","15.0","super","super"
"100","1695.0","33.0","170.0","4.0","14.0","special","special"
"1","1499.0","25.0","80.0","4.0","14.0","special","special"
"531","2390.0","25.0","340.0","8.0","15.0","mega","mega"
"327","2395.0","33.0","250.0","8.0","14.0","mega","mega"
"140","2195.0","50.0","130.0","4.0","14.0","super","super"
"1","1499.0","25.0","80.0","4.0","14.0","special","special"
"531","2390.0","25.0","340.0","8.0","15.0","mega","mega"
"327","2395.0","33.0","250.0","8.0","14.0","mega","mega"
"140","2195.0","50.0","130.0","4.0","14.0","super","super"
"41","2895.0","50.0","245.0","8.0","14.0","hyper","hyper"
"81","3399.0","66.0","230.0","4.0","15.0","hyper","hyper"
"245","2575.0","66.0","250.0","8.0","14.0","mega","uber"
"201","3995.0","66.0","452.0","8.0","14.0","uber","uber"
"41","2895.0","50.0","245.0","8.0","14.0","hyper","hyper"
"81","3399.0","66.0","230.0","4.0","15.0","hyper","hyper"
"245","2575.0","66.0","250.0","8.0","14.0","mega","uber"
"201","3995.0","66.0","452.0","8.0","14.0","uber","uber"
"306","1499.0","25.0","170.0","4.0","14.0","special","special"
"142","4020.0","66.0","500.0","8.0","14.0","uber","uber"
"510","3195.0","66.0","540.0","8.0","15.0","hyper","hyper"
"262","2345.0","33.0","250.0","8.0","15.0","mega","mega"
"306","1499.0","25.0","170.0","4.0","14.0","special","special"
"142","4020.0","66.0","500.0","8.0","14.0","uber","uber"
"510","3195.0","66.0","540.0","8.0","15.0","hyper","hyper"
"262","2345.0","33.0","250.0","8.0","15.0","mega","mega"
"163","2645.0","50.0","250.0","4.0","15.0","mega","mega"
"407","2399.0","66.0","213.0","8.0","14.0","mega","mega"
"571","1720.0","33.0","170.0","4.0","14.0","special","special"
"527","2790.0","66.0","340.0","8.0","15.0","hyper","hyper"
"163","2645.0","50.0","250.0","4.0","15.0","mega","mega"
"407","2399.0","66.0","213.0","8.0","14.0","mega","mega"
"571","1720.0","33.0","170.0","4.0","14.0","special","special"
"527","2790.0","66.0","340.0","8.0","15.0","hyper","hyper"
"20","4395.0","66.0","452.0","8.0","14.0","uber","mega"
"121","1795.0","33.0","170.0","4.0","14.0","super","super"
"285","2545.0","66.0","250.0","8.0","15.0","mega","mega"
"445","2495.0","33.0","340.0","8.0","14.0","mega","mega"
"20","4395.0","66.0","452.0","8.0","14.0","uber","mega"
"121","1795.0","33.0","170.0","4.0","14.0","super","super"
"285","2545.0","66.0","250.0","8.0","15.0","mega","mega"
"445","2495.0","33.0","340.0","8.0","14.0","mega","mega"
"611","2995.0","66.0","452.0","16.0","14.0","hyper","hyper"
"386","2399.0","33.0","212.0","8.0","14.0","mega","mega"
"325","1690.0","33.0","85.0","2.0","14.0","special","special"
"302","1895.0","25.0","130.0","4.0","14.0","super","super"
"611","2995.0","66.0","452.0","16.0","14.0","hyper","hyper"
"386","2399.0","33.0","212.0","8.0","14.0","mega","mega"
"325","1690.0","33.0","85.0","2.0","14.0","special","special"
"302","1895.0","25.0","130.0","4.0","14.0","super","super"
"203","2475.0","50.0","250.0","8.0","15.0","mega","mega"
"243","2335.0","50.0","250.0","8.0","14.0","mega","mega"
"182","2815.0","33.0","250.0","4.0","17.0","hyper","hyper"
"567","1690.0","33.0","107.0","2.0","14.0","special","special"
"203","2475.0","50.0","250.0","8.0","15.0","mega","mega"
"243","2335.0","50.0","250.0","8.0","14.0","mega","mega"
"182","2815.0","33.0","250.0","4.0","17.0","hyper","hyper"
"567","1690.0","33.0","107.0","2.0","14.0","special","special"
"468","1995.0","50.0","170.0","4.0","14.0","super","super"
"569","1890.0","25.0","214.0","4.0","14.0","super","super"
"39","2405.0","50.0","210.0","8.0","14.0","mega","mega"
"607","2299.0","66.0","245.0","8.0","14.0","mega","hyper"
"468","1995.0","50.0","170.0","4.0","14.0","super","super"
"569","1890.0","25.0","214.0","4.0","14.0","super","super"
"39","2405.0","50.0","210.0","8.0","14.0","mega","mega"
"607","2299.0","66.0","245.0","8.0","14.0","mega","hyper"
"60","1945.0","50.0","130.0","4.0","14.0","super","super"
"161","1995.0","33.0","130.0","4.0","14.0","super","super"
"508","3599.0","33.0","340.0","16.0","17.0","uber","uber"
"117","2525.0","50.0","250.0","4.0","15.0","mega","mega"
"60","1945.0","50.0","130.0","4.0","14.0","super","super"
"161","1995.0","33.0","130.0","4.0","14.0","super","super"
"508","3599.0","33.0","340.0","16.0","17.0","uber","uber"
"117","2525.0","50.0","250.0","4.0","15.0","mega","mega"
"18","2325.0","33.0","210.0","4.0","15.0","mega","mega"
"426","1595.0","33.0","107.0","2.0","14.0","special","special"
"365","2815.0","66.0","250.0","8.0","15.0","hyper","hyper"
"443","1490.0","25.0","107.0","2.0","14.0","special","special"
"18","2325.0","33.0","210.0","4.0","15.0","mega","mega"
"426","1595.0","33.0","107.0","2.0","14.0","special","special"
"365","2815.0","66.0","250.0","8.0","15.0","hyper","hyper"
"443","1490.0","25.0","107.0","2.0","14.0","special","special"
"79","2595.0","50.0","130.0","4.0","14.0","mega","mega"
"609","2495.0","33.0","250.0","8.0","15.0","mega","mega"
"222","2695.0","66.0","250.0","8.0","15.0","mega","mega"
"239","1495.0","25.0","170.0","4.0","14.0","special","special"
"79","2595.0","50.0","130.0","4.0","14.0","mega","mega"
"609","2495.0","33.0","250.0","8.0","15.0","mega","mega"
"222","2695.0","66.0","250.0","8.0","15.0","mega","mega"
"239","1495.0","25.0","170.0","4.0","14.0","special","special"
"344","1590.0","33.0","85.0","2.0","14.0","special","special"
"466","1795.0","66.0","107.0","2.0","14.0","super","super"
"548","2599.0","50.0","450.0","8.0","15.0","mega","mega"
"157","2999.0","50.0","170.0","4.0","14.0","hyper","hyper"
"344","1590.0","33.0","85.0","2.0","14.0","special","special"
"466","1795.0","66.0","107.0","2.0","14.0","super","super"
"548","2599.0","50.0","450.0","8.0","15.0","mega","mega"
"157","2999.0","50.0","170.0","4.0","14.0","hyper","hyper"
"58","3075.0","66.0","210.0","4.0","17.0","hyper","hyper"
"119","2499.0","33.0","170.0","4.0","14.0","mega","mega"
"588","1599.0","25.0","170.0","4.0","14.0","special","special"
"14","2295.0","25.0","245.0","8.0","14.0","mega","mega"
"58","3075.0","66.0","210.0","4.0","17.0","hyper","hyper"
"119","2499.0","33.0","170.0","4.0","14.0","mega","mega"
"588","1599.0","25.0","170.0","4.0","14.0","special","special"
"14","2295.0","25.0","245.0","8.0","14.0","mega","mega"
"323","2599.0","33.0","245.0","16.0","15.0","mega","mega"
"159","3065.0","50.0","250.0","4.0","17.0","hyper","mega"
"37","2325.0","66.0","210.0","8.0","14.0","mega","mega"
"483","2249.0","50.0","230.0","4.0","14.0","super","super"
"323","2599.0","33.0","245.0","16.0","15.0","mega","mega"
"159","3065.0","50.0","250.0","4.0","17.0","hyper","mega"
"37","2325.0","66.0","210.0","8.0","14.0","mega","mega"
"483","2249.0","50.0","230.0","4.0","14.0","super","super"
"384","2290.0","25.0","245.0","8.0","14.0","mega","mega"
"424","2495.0","50.0","250.0","8.0","15.0","mega","mega"
"220","1945.0","33.0","170.0","4.0","14.0","super","super"
"279","2405.0","66.0","250.0","8.0","14.0","mega","mega"
"384","2290.0","25.0","245.0","8.0","14.0","mega","mega"
"424","2495.0","50.0","250.0","8.0","15.0","mega","mega"
"220","1945.0","33.0","170.0","4.0","14.0","super","super"
"279","2405.0","66.0","250.0","8.0","14.0","mega","mega"
"180","1695.0","50.0","85.0","2.0","14.0","special","mega"
"16","2225.0","50.0","130.0","4.0","14.0","super","super"
"485","2455.0","66.0","250.0","8.0","14.0","mega","mega"
"544","2698.0","66.0","245.0","8.0","14.0","mega","mega"
"180","1695.0","50.0","85.0","2.0","14.0","special","mega"
"16","2225.0","50.0","130.0","4.0","14.0","super","super"
"485","2455.0","66.0","250.0","8.0","14.0","mega","mega"
"544","2698.0","66.0","245.0","8.0","14.0","mega","mega"
"241","1699.0","33.0","120.0","4.0","14.0","special","special"
"281","2225.0","33.0","250.0","8.0","14.0","super","super"
"77","1975.0","33.0","210.0","8.0","14.0","super","super"
"605","1449.0","25.0","120.0","4.0","14.0","special","hyper"
"241","1699.0","33.0","120.0","4.0","14.0","special","special"
"281","2225.0","33.0","250.0","8.0","14.0","super","super"
"77","1975.0","33.0","210.0","8.0","14.0","super","super"
"605","1449.0","25.0","120.0","4.0","14.0","special","hyper"
"506","1775.0","33.0","170.0","4.0","14.0","super","super"
"138","2395.0","33.0","250.0","4.0","15.0","mega","mega"
"342","2699.0","66.0","213.0","8.0","14.0","mega","mega"
"319","2335.0","66.0","250.0","8.0","14.0","mega","mega"
"506","1775.0","33.0","170.0","4.0","14.0","super","super"
"138","2395.0","33.0","250.0","4.0","15.0","mega","mega"
"342","2699.0","66.0","213.0","8.0","14.0","mega","mega"
"319","2335.0","66.0","250.0","8.0","14.0","mega","mega"
"98","1920.0","33.0","170.0","4.0","14.0","super","super"
"464","2790.0","33.0","452.0","16.0","15.0","hyper","hyper"
"260","2599.0","33.0","245.0","16.0","15.0","mega","mega"
"155","2499.0","33.0","212.0","8.0","14.0","mega","super"
"98","1920.0","33.0","170.0","4.0","14.0","super","super"
"464","2790.0","33.0","452.0","16.0","15.0","hyper","hyper"
"260","2599.0","33.0","245.0","16.0","15.0","mega","mega"
"155","2499.0","33.0","212.0","8.0","14.0","mega","super"
"363","2155.0","50.0","250.0","8.0","14.0","super","super"
"321","2425.0","66.0","250.0","8.0","15.0","mega","mega"
"525","2099.0","66.0","120.0","4.0","14.0","super","super"
"216","1395.0","25.0","85.0","2.0","14.0","special","special"
"363","2155.0","50.0","250.0","8.0","14.0","super","super"
"321","2425.0","66.0","250.0","8.0","15.0","mega","mega"
"525","2099.0","66.0","120.0","4.0","14.0","super","super"
"216","1395.0","25.0","85.0","2.0","14.0","special","special"
"546","2695.0","66.0","340.0","8.0","14.0","mega","mega"
"178","2645.0","33.0","250.0","8.0","17.0","mega","mega"
"382","2399.0","66.0","213.0","8.0","14.0","mega","mega"
"542","2795.0","66.0","250.0","8.0","15.0","hyper","hyper"
"546","2695.0","66.0","340.0","8.0","14.0","mega","mega"
"178","2645.0","33.0","250.0","8.0","17.0","mega","mega"
"382","2399.0","66.0","213.0","8.0","14.0","mega","mega"
"542","2795.0","66.0","250.0","8.0","15.0","hyper","hyper"
"403","2490.0","33.0","340.0","8.0","14.0","mega","mega"
"422","2690.0","25.0","452.0","16.0","14.0","mega","mega"
"35","1999.0","33.0","170.0","4.0","14.0","super","super"
"195","2065.0","50.0","170.0","4.0","14.0","super","super"
"403","2490.0","33.0","340.0","8.0","14.0","mega","mega"
"422","2690.0","25.0","452.0","16.0","14.0","mega","mega"
"35","1999.0","33.0","170.0","4.0","14.0","super","super"
"195","2065.0","50.0","170.0","4.0","14.0","super","super"
"56","2125.0","50.0","130.0","4.0","14.0","super","super"
"136","2195.0","25.0","245.0","8.0","14.0","super","super"
"300","1595.0","25.0","170.0","4.0","14.0","special","special"
"460","2690.0","25.0","452.0","16.0","15.0","mega","mega"
"56","2125.0","50.0","130.0","4.0","14.0","super","super"
"136","2195.0","25.0","245.0","8.0","14.0","super","super"
"300","1595.0","25.0","170.0","4.0","14.0","special","special"
"460","2690.0","25.0","452.0","16.0","15.0","mega","mega"
"96","1495.0","25.0","170.0","4.0","14.0","special","special"
"197","2099.0","33.0","212.0","4.0","14.0","super","super"
"340","2825.0","33.0","250.0","8.0","17.0","hyper","hyper"
"256","2399.0","66.0","120.0","4.0","14.0","mega","mega"
"96","1495.0","25.0","170.0","4.0","14.0","special","special"
"197","2099.0","33.0","212.0","4.0","14.0","super","super"
"340","2825.0","33.0","250.0","8.0","17.0","hyper","hyper"
"256","2399.0","66.0","120.0","4.0","14.0","mega","mega"
"361","1775.0","33.0","170.0","4.0","14.0","super","super"
"462","1790.0","50.0","107.0","2.0","14.0","super","super"
"54","2190.0","33.0","210.0","4.0","14.0","super","super"
"317","2399.0","66.0","120.0","4.0","14.0","mega","mega"
"361","1775.0","33.0","170.0","4.0","14.0","super","super"
"462","1790.0","50.0","107.0","2.0","14.0","super","super"
"54","2190.0","33.0","210.0","4.0","14.0","super","super"
"317","2399.0","66.0","120.0","4.0","14.0","mega","mega"
"218","2095.0","33.0","130.0","4.0","14.0","super","super"
"441","2605.0","33.0","250.0","8.0","17.0","mega","mega"
"380","1490.0","25.0","85.0","2.0","14.0","special","special"
"582","2590.0","33.0","340.0","8.0","14.0","mega","mega"
"218","2095.0","33.0","130.0","4.0","14.0","super","super"
"441","2605.0","33.0","250.0","8.0","17.0","mega","mega"
"380","1490.0","25.0","85.0","2.0","14.0","special","special"
"582","2590.0","33.0","340.0","8.0","14.0","mega","mega"
"75","2999.0","50.0","170.0","4.0","14.0","hyper","hyper"
"33","2595.0","33.0","210.0","8.0","17.0","mega","mega"
"563","2999.0","50.0","240.0","4.0","14.0","hyper","hyper"
"31","1920.0","33.0","170.0","4.0","14.0","super","super"
"75","2999.0","50.0","170.0","4.0","14.0","hyper","hyper"
"33","2595.0","33.0","210.0","8.0","17.0","mega","mega"
"563","2999.0","50.0","240.0","4.0","14.0","hyper","hyper"
"31","1920.0","33.0","170.0","4.0","14.0","super","super"
"401","2399.0","50.0","320.0","8.0","14.0","mega","mega"
"502","2295.0","66.0","214.0","4.0","14.0","mega","mega"
"12","2605.0","66.0","210.0","8.0","14.0","mega","uber"
"500","2720.0","50.0","250.0","8.0","15.0","hyper","hyper"
"401","2399.0","50.0","320.0","8.0","14.0","mega","mega"
"502","2295.0","66.0","214.0","4.0","14.0","mega","mega"
"12","2605.0","66.0","210.0","8.0","14.0","mega","uber"
"500","2720.0","50.0","250.0","8.0","15.0","hyper","hyper"
"258","2449.0","33.0","230.0","4.0","14.0","mega","super"
"298","2890.0","33.0","340.0","16.0","14.0","hyper","hyper"
"277","2195.0","50.0","170.0","4.0","14.0","super","super"
"622","2025.0","66.0","170.0","4.0","14.0","super","hyper"
"258","2449.0","33.0","230.0","4.0","14.0","mega","super"
"298","2890.0","33.0","340.0","16.0","14.0","hyper","hyper"
"277","2195.0","50.0","170.0","4.0","14.0","super","super"
"622","2025.0","66.0","170.0","4.0","14.0","super","hyper"
"523","1499.0","25.0","170.0","4.0","14.0","special","special"
"481","2455.0","50.0","250.0","8.0","15.0","mega","mega"
"338","2990.0","50.0","340.0","16.0","14.0","hyper","hyper"
"172","2495.0","33.0","250.0","8.0","15.0","mega","mega"
"523","1499.0","25.0","170.0","4.0","14.0","special","special"
"481","2455.0","50.0","250.0","8.0","15.0","mega","mega"
"338","2990.0","50.0","340.0","16.0","14.0","hyper","hyper"
"172","2495.0","33.0","250.0","8.0","15.0","mega","mega"
"115","1499.0","25.0","170.0","4.0","14.0","special","special"
"174","2744.0","66.0","245.0","8.0","14.0","hyper","special"
"603","1999.0","50.0","212.0","4.0","14.0","super","super"
"498","1890.0","66.0","107.0","2.0","14.0","super","super"
"115","1499.0","25.0","170.0","4.0","14.0","special","special"
"174","2744.0","66.0","245.0","8.0","14.0","hyper","special"
"603","1999.0","50.0","212.0","4.0","14.0","super","super"
"498","1890.0","66.0","107.0","2.0","14.0","super","super"
"359","3125.0","66.0","250.0","8.0","17.0","hyper","hyper"
"479","2595.0","50.0","250.0","8.0","15.0","mega","mega"
"275","2195.0","33.0","250.0","8.0","15.0","super","super"
"294","2455.0","66.0","250.0","8.0","14.0","mega","mega"
"359","3125.0","66.0","250.0","8.0","17.0","hyper","hyper"
"479","2595.0","50.0","250.0","8.0","15.0","mega","mega"
"275","2195.0","33.0","250.0","8.0","15.0","super","super"
"294","2455.0","66.0","250.0","8.0","14.0","mega","mega"
"73","1695.0","33.0","170.0","4.0","14.0","special","hyper"
"71","4020.0","66.0","500.0","8.0","14.0","uber","uber"
"540","2095.0","33.0","250.0","4.0","14.0","super","super"
"559","2690.0","33.0","452.0","16.0","14.0","mega","mega"
"73","1695.0","33.0","170.0","4.0","14.0","special","hyper"
"71","4020.0","66.0","500.0","8.0","14.0","uber","uber"
"540","2095.0","33.0","250.0","4.0","14.0","super","super"
"559","2690.0","33.0","452.0","16.0","14.0","mega","mega"
"134","2075.0","50.0","170.0","4.0","14.0","super","super"
"336","2790.0","33.0","340.0","16.0","14.0","hyper","hyper"
"132","1799.0","25.0","170.0","4.0","14.0","super","mega"
"212","3135.0","66.0","250.0","8.0","17.0","hyper","hyper"
"134","2075.0","50.0","170.0","4.0","14.0","super","super"
"336","2790.0","33.0","340.0","16.0","14.0","hyper","hyper"
"132","1799.0","25.0","170.0","4.0","14.0","super","mega"
"212","3135.0","66.0","250.0","8.0","17.0","hyper","hyper"
"399","1899.0","33.0","212.0","4.0","14.0","super","super"
"193","1999.0","33.0","213.0","8.0","14.0","super","super"
"397","2449.0","33.0","230.0","4.0","14.0","mega","mega"
"69","2199.0","33.0","212.0","4.0","14.0","super","super"
"399","1899.0","33.0","212.0","4.0","14.0","super","super"
"193","1999.0","33.0","213.0","8.0","14.0","super","super"
"397","2449.0","33.0","230.0","4.0","14.0","mega","mega"
"69","2199.0","33.0","212.0","4.0","14.0","super","super"
"113","3895.0","50.0","452.0","8.0","14.0","uber","uber"
"458","2390.0","66.0","214.0","4.0","15.0","mega","mega"
"50","1995.0","33.0","250.0","4.0","14.0","super","super"
"538","1899.0","33.0","170.0","4.0","14.0","super","super"
"113","3895.0","50.0","452.0","8.0","14.0","uber","uber"
"458","2390.0","66.0","214.0","4.0","15.0","mega","mega"
"50","1995.0","33.0","250.0","4.0","14.0","super","super"
"538","1899.0","33.0","170.0","4.0","14.0","super","super"
"378","2595.0","25.0","340.0","16.0","14.0","mega","mega"
"519","2390.0","66.0","214.0","4.0","14.0","mega","mega"
"315","2695.0","66.0","250.0","8.0","14.0","mega","mega"
"334","2025.0","50.0","170.0","4.0","14.0","super","super"
"378","2595.0","25.0","340.0","16.0","14.0","mega","mega"
"519","2390.0","66.0","214.0","4.0","14.0","mega","mega"
"315","2695.0","66.0","250.0","8.0","14.0","mega","mega"
"334","2025.0","50.0","170.0","4.0","14.0","super","super"
"439","3055.0","50.0","250.0","8.0","17.0","hyper","hyper"
"376","1995.0","33.0","130.0","4.0","14.0","super","super"
"580","2099.0","33.0","120.0","4.0","14.0","super","super"
"599","2390.0","66.0","214.0","4.0","14.0","mega","mega"
"439","3055.0","50.0","250.0","8.0","17.0","hyper","hyper"
"376","1995.0","33.0","130.0","4.0","14.0","super","super"
"580","2099.0","33.0","120.0","4.0","14.0","super","super"
"599","2390.0","66.0","214.0","4.0","14.0","mega","mega"
"235","2195.0","25.0","245.0","8.0","14.0","super","super"
"477","2035.0","33.0","250.0","8.0","14.0","super","super"
"437","2805.0","33.0","250.0","8.0","17.0","hyper","hyper"
"210","3895.0","66.0","500.0","8.0","15.0","uber","uber"
"235","2195.0","25.0","245.0","8.0","14.0","super","super"
"477","2035.0","33.0","250.0","8.0","14.0","super","super"
"437","2805.0","33.0","250.0","8.0","17.0","hyper","hyper"
"210","3895.0","66.0","500.0","8.0","15.0","uber","uber"
"296","2690.0","25.0","340.0","16.0","14.0","mega","mega"
"191","1899.0","33.0","170.0","4.0","14.0","super","super"
"355","2075.0","66.0","170.0","4.0","14.0","super","super"
"6","3695.0","66.0","340.0","16.0","14.0","uber","special"
"296","2690.0","25.0","340.0","16.0","14.0","mega","mega"
"191","1899.0","33.0","170.0","4.0","14.0","super","super"
"355","2075.0","66.0","170.0","4.0","14.0","super","super"
"6","3695.0","66.0","340.0","16.0","14.0","uber","special"
"561","3999.0","66.0","345.0","16.0","17.0","uber","uber"
"517","1990.0","25.0","214.0","4.0","14.0","super","super"
"620","1499.0","33.0","130.0","4.0","14.0","special","special"
"597","2745.0","33.0","540.0","8.0","14.0","hyper","hyper"
"561","3999.0","66.0","345.0","16.0","17.0","uber","uber"
"517","1990.0","25.0","214.0","4.0","14.0","super","super"
"620","1499.0","33.0","130.0","4.0","14.0","special","special"
"597","2745.0","33.0","540.0","8.0","14.0","hyper","hyper"
"418","1690.0","33.0","107.0","2.0","14.0","special","special"
"231","1999.0","33.0","120.0","8.0","14.0","super","super"
"252","1499.0","25.0","170.0","4.0","14.0","special","special"
"250","2999.0","66.0","170.0","4.0","14.0","hyper","hyper"
"418","1690.0","33.0","107.0","2.0","14.0","special","special"
"231","1999.0","33.0","120.0","8.0","14.0","super","super"
"252","1499.0","25.0","170.0","4.0","14.0","special","special"
"250","2999.0","66.0","170.0","4.0","14.0","hyper","hyper"
"601","3149.0","66.0","230.0","8.0","14.0","hyper","hyper"
"88","1795.0","33.0","130.0","4.0","14.0","super","super"
"109","2045.0","66.0","170.0","4.0","14.0","super","special"
"515","1999.0","33.0","170.0","4.0","14.0","super","super"
"601","3149.0","66.0","230.0","8.0","14.0","hyper","hyper"
"88","1795.0","33.0","130.0","4.0","14.0","super","super"
"109","2045.0","66.0","170.0","4.0","14.0","super","special"
"515","1999.0","33.0","170.0","4.0","14.0","super","super"
"111","2995.0","66.0","340.0","8.0","15.0","hyper","hyper"
"353","2595.0","50.0","250.0","8.0","15.0","mega","mega"
"435","2049.0","33.0","405.0","4.0","14.0","super","super"
"311","1999.0","33.0","213.0","8.0","14.0","super","super"
"111","2995.0","66.0","340.0","8.0","15.0","hyper","hyper"
"353","2595.0","50.0","250.0","8.0","15.0","mega","mega"
"435","2049.0","33.0","405.0","4.0","14.0","super","super"
"311","1999.0","33.0","213.0","8.0","14.0","super","super"
"90","3490.0","50.0","330.0","8.0","14.0","uber","uber"
"536","2815.0","66.0","250.0","8.0","15.0","hyper","hyper"
"27","1975.0","33.0","130.0","4.0","14.0","super","super"
"372","3225.0","66.0","212.0","4.0","15.0","hyper","hyper"
"90","3490.0","50.0","330.0","8.0","14.0","uber","uber"
"536","2815.0","66.0","250.0","8.0","15.0","hyper","hyper"
"27","1975.0","33.0","130.0","4.0","14.0","super","super"
"372","3225.0","66.0","212.0","4.0","15.0","hyper","hyper"
"151","2095.0","33.0","250.0","4.0","15.0","super","super"
"189","2695.0","33.0","340.0","16.0","14.0","mega","mega"
"292","2999.0","66.0","240.0","4.0","15.0","hyper","hyper"
"555","2595.0","33.0","452.0","16.0","14.0","mega","mega"
"151","2095.0","33.0","250.0","4.0","15.0","super","super"
"189","2695.0","33.0","340.0","16.0","14.0","mega","mega"
"292","2999.0","66.0","240.0","4.0","15.0","hyper","hyper"
"555","2595.0","33.0","452.0","16.0","14.0","mega","mega"
"8","1995.0","50.0","85.0","2.0","14.0","super","super"
"229","2199.0","33.0","210.0","4.0","14.0","super","super"
"557","2075.0","50.0","250.0","8.0","14.0","super","super"
"412","2075.0","66.0","170.0","4.0","14.0","super","super"
"8","1995.0","50.0","85.0","2.0","14.0","super","super"
"229","2199.0","33.0","210.0","4.0","14.0","super","super"
"557","2075.0","50.0","250.0","8.0","14.0","super","super"
"412","2075.0","66.0","170.0","4.0","14.0","super","super"
"273","2595.0","50.0","250.0","8.0","15.0","mega","mega"
"494","3599.0","66.0","405.0","8.0","14.0","uber","uber"
"67","2325.0","66.0","130.0","4.0","14.0","mega","mega"
"309","2475.0","50.0","250.0","8.0","15.0","mega","special"
"273","2595.0","50.0","250.0","8.0","15.0","mega","mega"
"494","3599.0","66.0","405.0","8.0","14.0","uber","uber"
"67","2325.0","66.0","130.0","4.0","14.0","mega","mega"
"309","2475.0","50.0","250.0","8.0","15.0","mega","special"
"130","2065.0","50.0","170.0","4.0","14.0","super","super"
"351","2405.0","50.0","250.0","8.0","14.0","mega","mega"
"332","2195.0","50.0","130.0","4.0","14.0","super","super"
"227","1920.0","33.0","170.0","4.0","14.0","super","super"
"130","2065.0","50.0","170.0","4.0","14.0","super","super"
"351","2405.0","50.0","250.0","8.0","14.0","mega","mega"
"332","2195.0","50.0","130.0","4.0","14.0","super","super"
"227","1920.0","33.0","170.0","4.0","14.0","super","super"
"395","2999.0","66.0","170.0","4.0","14.0","hyper","hyper"
"208","3795.0","33.0","452.0","8.0","14.0","uber","uber"
"393","1899.0","50.0","120.0","4.0","14.0","super","super"
"23","2895.0","25.0","340.0","16.0","14.0","hyper","hyper"
"395","2999.0","66.0","170.0","4.0","14.0","hyper","hyper"
"208","3795.0","33.0","452.0","8.0","14.0","uber","uber"
"393","1899.0","50.0","120.0","4.0","14.0","super","super"
"23","2895.0","25.0","340.0","16.0","14.0","hyper","hyper"
"456","2375.0","50.0","250.0","8.0","15.0","mega","mega"
"269","2799.0","50.0","245.0","16.0","15.0","hyper","hyper"
"4","1849.0","25.0","170.0","8.0","14.0","super","hyper"
"84","2720.0","33.0","250.0","8.0","15.0","hyper","hyper"
"456","2375.0","50.0","250.0","8.0","15.0","mega","mega"
"269","2799.0","50.0","245.0","16.0","15.0","hyper","hyper"
"4","1849.0","25.0","170.0","8.0","14.0","super","hyper"
"84","2720.0","33.0","250.0","8.0","15.0","hyper","hyper"
"313","2895.0","50.0","340.0","16.0","14.0","hyper","hyper"
"534","2335.0","66.0","250.0","8.0","14.0","mega","mega"
"595","2295.0","66.0","214.0","4.0","14.0","mega","mega"
"553","2990.0","50.0","452.0","16.0","14.0","hyper","hyper"
"313","2895.0","50.0","340.0","16.0","14.0","hyper","hyper"
"534","2335.0","66.0","250.0","8.0","14.0","mega","mega"
"595","2295.0","66.0","214.0","4.0","14.0","mega","mega"
"553","2990.0","50.0","452.0","16.0","14.0","hyper","hyper"
"578","3090.0","66.0","452.0","16.0","14.0","hyper","hyper"
"248","2699.0","66.0","213.0","8.0","14.0","mega","mega"
"187","1695.0","33.0","170.0","4.0","14.0","special","special"
"349","2515.0","33.0","250.0","8.0","15.0","mega","mega"
"578","3090.0","66.0","452.0","16.0","14.0","hyper","hyper"
"248","2699.0","66.0","213.0","8.0","14.0","mega","mega"
"187","1695.0","33.0","170.0","4.0","14.0","special","special"
"349","2515.0","33.0","250.0","8.0","15.0","mega","mega"
"170","1999.0","33.0","120.0","8.0","14.0","super","super"
"513","3090.0","66.0","452.0","16.0","15.0","hyper","hyper"
"452","2395.0","33.0","250.0","8.0","14.0","mega","mega"
"124","3220.0","66.0","340.0","8.0","15.0","hyper","special"
"170","1999.0","33.0","120.0","8.0","14.0","super","super"
"513","3090.0","66.0","452.0","16.0","15.0","hyper","hyper"
"452","2395.0","33.0","250.0","8.0","14.0","mega","mega"
"124","3220.0","66.0","340.0","8.0","15.0","hyper","special"
"414","2195.0","33.0","250.0","8.0","15.0","super","super"
