"id","content"
"189","<start:per> mark philippoussis <end> ( <start:loc> australia <end> ) beat <start:per> andrei olhovskiy <end> ( <start:loc> russia <end> ) 6 - 3 6-4 6-2"
"4","west indian all-rounder <start:per> phil simmons <end> took four for 38 on friday as <start:org> leicestershire <end> beat <start:org> somerset <end> by an innings and 39 runs in two days to take over at the head of the county championship ."
"372"," yesterday was the toughest day i ve had for a long time "
"126","but those close to the boxer acknowledge that the man who has won championships in four different weight classes -- lightweight "
"229","<start:org> detroit <end> 48 86 .358 26 1/2"
"330"," i do nt see the ball like i see during the day ."
"86","<start:per> shearer <end> takes the captaincy on a trial basis "
"166","<start:org> samsung <end> 10 <start:org> haitai <end> 3"
"494","men s 400 metres hurdles"
"187","4 - <start:per> goran ivanisevic <end> ( <start:loc> croatia <end> ) beat <start:per> scott draper <end> ( <start:loc> australia <end> ) 6-7 ( 1-7 ) 6-3 6-4 6-4"
"309","the texan blasted in two aces to hold serve at 5-2 and then converted his eighth match point for victory when <start:per> washington <end> found the net with another backhand from 40-0 ."
"431","6. <start:per> carmen wuestenhagen <end> ( <start:loc> germany <end> ) 4:10.38"
"351","<start:loc> milwaukee <end> "
"452","women s shot put"
"227","<start:org> boston <end> 69 65 .515 5 1/2"
"288","<start:org> chicago <end> 4 <start:org> houston <end> 3"
"269","<start:org> atlanta <end> at <start:loc> chicago <end>"
"44","<start:loc> scotland <end> ."
"23","<start:org> somerset <end> 83 and 174 ( <start:per> p. simmons <end> 4-38 ) "
"145","standings after games played on thursday ( tabulate under -"
"65","june 19-23 second test ( at <start:loc> lord s <end> )"
"105","<start:loc> romania <end> - <start:per> cosmin contra <end> ( 31st ) "
"84","the 26-year-old "
"206","7-6 ( 7-1 ) 6-2 4-6 6-1"
"248","<start:org> baltimore <end> at <start:loc> seattle <end>"
"370","<start:per> woods <end> "
"267","<start:org> san francisco <end> 57 74 .435 16"
"2","cricket - <start:org> leicestershire <end> take over at top after innings victory ."
"513","1. <start:per> dennis mitchell <end> ( <start:loc> u.s. <end> ) 10.08"
"492","7. <start:per> pauline konga <end> ( <start:loc> kenya <end> ) 15:09.74"
"124","i feel good ."
"471","4. <start:per> vladimir dubrovshchik <end> ( <start:loc> belarus <end> ) 65.30"
"63","june 11-13 v a first class county ( to be confirmed )"
"410"," today the concentration was the most important thing for me "
"389","<start:per> phil mickelson <end> "
"328","i lost too many points that i never lose ."
"246","<start:org> new york <end> at <start:loc> california <end>"
"42","english county sides and another against <start:org> british universities <end> "
"429","4. <start:per> yekaterina podkopayeva <end> ( <start:loc> russia <end> ) 4:09.25"
"185","<start:per> sandrine testud <end> ( <start:loc> france <end> ) beat <start:per> ines gorrochategui <end> ( <start:loc> argentina <end> ) 4-6 6-2 6-1"
"103","<start:loc> romania <end> beat <start:loc> lithuania <end> 2-1 ( halftime 1-1 ) in their european under-21 soccer match on friday ."
"307","the hard-serving <start:per> obrien <end> "
"21","result and close of play scores in english county championship matches on friday :"
"450","7. <start:per> claus hirsbro <end> ( <start:loc> denmark <end> ) 20.90"
"368","<start:per> nolan henke <end> fired a nine-under-par 62 to grab a two-shot lead after the opening round of the $ 1.2 million greater milwaukee open thursday as 20-year-old <start:per> tiger woods <end> shot 67 in his professional debut ."
"164","<start:org> hyundai <end> 6 <start:org> lotte <end> 5"
"511","8. <start:per> karin janke <end> ( <start:loc> germany <end> ) 53.13"
"225","<start:org> new york <end> 74 59 .556 -"
"490","5. <start:per> tegla loroupe <end> ( <start:loc> kenya <end> ) 15:08.79"
"286","national league"
"82","<start:loc> london <end> 1996-08-30"
"143","<start:org> pohang <end> 3 <start:org> ulsan <end> 2 ( halftime 1-0 )"
"347","a second-round choice in 1985 "
"408","among the crowd on friday were olympic 100 metres champions going back to 1948 ."
"204","add men s singles "
